ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,chg_1d,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,market,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
MPWR,1568.0,1312.77,-16.28,-255.23,1312.77,0,2,1,⚪ 관망,1324.07,1290.17,0.86,-1.72,-0.04,🔴 손절 고려,,0.0,BB하단(-0.00) / ADX강세(29.3),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,미국,N/A,N/A,,,⚠ IV 73.1% (고변동성),PCR 2.08 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
487230,19705.0,741.0,-96.24,-1441264.0,56316.0,0,3,3,미분류,717.65,787.7,-3.15,6.3,1.65,🟣 추가매수 고려,,0.0,구름대 위 / RSI상승기울기(+12.3) / ADX강세(37.5),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
458730,13707.26,741.0,-94.59,-1491119.9,85215.0,0,3,3,미분류,717.65,787.7,-3.15,6.3,1.65,🟣 추가매수 고려,,0.0,구름대 위 / RSI상승기울기(+12.3) / ADX강세(37.5),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
COHR,393.42,391.22,-0.56,-6.6,1173.66,0,3,3,⚪ 관망,333.8,506.05,-14.68,29.35,2.8,🟣 추가매수 고려,,-2.0,구름대 위 / MA 정배열 / OBV상승(1.05x),⚠ 주의,2,현금<총부채 / 우선주존재,미국,N/A,N/A,,,🚨 IV 91.3% (극고변동성),PCR 1.05 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,194.97,4.38,40.95,974.85,0,4,1,⚪ 관망,199.17,186.57,2.15,-4.31,1.27,🔴 손절 고려,,0.0,Stoch GC(K=25) / BB하단(0.15) / RSI상승기울기(+4.8) / ADX강세(29.9),⚠ 주의,2,현금<총부채 / 재고↑이익↓,미국,N/A,N/A,,,IV 2.1% (저변동성),PCR 0.62 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
NASA,42.36,29.19,-31.09,-408.27,904.89,0,3,0,미분류,33.12,21.32,13.46,-26.96,9.82,🔴 손절 고려,,0.0,RSI 상향돌파 / RSI상승기울기(+12.9) / ADX강세(41.1),데이터없음,0,없음,미국,N/A,N/A,,,⚠ IV 78.3% (고변동성),PCR 0.17 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
464310,15771.0,724.08,-95.41,-1188706.68,57202.32,0,2,3,미분류,688.44,795.36,-4.92,9.84,2.49,⚪ 보유 유지,,0.0,구름대 위 / RSI상승기울기(+8.6),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
465580,21390.0,741.0,-96.54,-970503.0,34827.0,0,3,3,미분류,717.65,787.7,-3.15,6.3,1.65,🟣 추가매수 고려,,0.0,구름대 위 / RSI상승기울기(+12.3) / ADX강세(37.5),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
RKLB,65.07,98.01,50.62,230.58,686.07,0,2,3,🟢 강세,96.77,100.49,-1.27,2.53,15.93,🟡 1/3 익절 고려,,93.0,RSI상승기울기(+14.1) / ADX강세(49.3),⚠ 주의,2,재고↑이익↓ / 우선주존재,미국,N/A,N/A,,,🚨 IV 92.1% (극고변동성),PCR 0.39 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
0131V0,12790.0,12595.0,-1.52,-11505.0,743105.0,0,5,0,미분류,12882.4,12020.21,2.28,-4.56,5.35,🔴 손절 고려,,0.0,RSI 상향돌파 / Stoch GC(K=34) / BB하단(0.22) / RSI상승기울기(+8.1) / ADX강세(37.1),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
498270,12360.0,521.68,-95.78,-473532.8,20867.2,0,5,3,미분류,509.25,546.54,-2.38,4.77,0.76,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / MA 정배열 / MACD 양전환 / RSI상승기울기(+11.1) / OBV상승(1.10x),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
271050,2212.0,2515.0,13.7,69690.0,578450.0,0,4,-1,미분류,2366.29,2812.41,-5.91,11.83,0.8,🟠 분할익절 고려 (추세 점검),,50.5,구름대 위 / MA 정배열 / OBV상승(0.78x) / ADX강세(43.0),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
