ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,chg_1d,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,market,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
005930,107954.94,323000.0,199.2,143865145.14,216087000.0,0,1,3,미분류,286062.5,396875.0,-11.44,22.87,-4.86,🟠 분할익절 고려 (추세 점검),,74.4,구름대 위,데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
360750,23732.88,741.0,-96.88,-19382154.84,624663.0,0,3,3,미분류,717.65,787.7,-3.15,6.3,1.65,🟣 추가매수 고려,,0.0,구름대 위 / RSI상승기울기(+12.3) / ADX강세(37.5),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
379810,13300.17,724.08,-94.56,-4980131.64,286735.68,0,2,3,미분류,688.44,795.36,-4.92,9.84,2.49,⚪ 보유 유지,,0.0,구름대 위 / RSI상승기울기(+8.6),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
RKLX,40.32,41.41,2.7,142.79,5424.71,0,3,0,미분류,58.7,6.82,41.75,-83.53,31.59,🔴 손절 고려,,0.0,거래량급증(1.8x) / RSI상승기울기(+11.6) / ADX강세(51.7),데이터없음,0,없음,미국,N/A,N/A,,,🚨 IV 172.9% (극고변동성),PCR 0.37 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
379800,13973.04,741.0,-94.7,-4273948.92,239343.0,0,3,3,미분류,717.65,787.7,-3.15,6.3,1.65,🟣 추가매수 고려,,0.0,구름대 위 / RSI상승기울기(+12.3) / ADX강세(37.5),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
133690,169890.58,724.08,-99.57,-5920827.5,25342.8,0,2,3,미분류,688.44,795.36,-4.92,9.84,2.49,⚪ 보유 유지,,0.0,구름대 위 / RSI상승기울기(+8.6),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,353.65,-3.32,-145.92,4243.8,0,3,3,🔴 약세,338.46,384.04,-4.3,8.59,4.82,🟣 추가매수 고려,,-66.7,RSI 상향돌파 / RSI상승기울기(+13.9) / ADX강세(27.9),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,미국,N/A,N/A,,,IV 9.8% (저변동성),PCR 0.64 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.64,-16.68,-690.69,3450.92,0,3,-1,미분류,13.49,13.94,-1.1,2.2,17.38,🟠 손절가 근접 (모니터링),,0.0,RSI상승기울기(+14.9) / OBV상승(1.03x) / ADX강세(27.9),데이터없음,0,없음,미국,N/A,N/A,,,🚨 IV 91.4% (극고변동성),PCR 0.28 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,372.72,12.17,242.64,2236.32,0,3,3,⚪ 관망,356.97,404.23,-4.23,8.45,-1.21,🟠 분할익절 고려 (추세 점검),,56.2,구름대 위 / BB하단(0.20) / RSI상승기울기(+4.3),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,미국,N/A,N/A,,,⚠ IV 50.4% (고변동성),PCR 1.37 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,411.84,-0.46,-7.64,1647.36,0,3,1,⚪ 관망,393.34,448.83,-4.49,8.98,8.46,⚪ 보유 유지,,-5.4,RSI상승기울기(+14.9) / OBV상승(1.02x) / ADX강세(26.3),⚠ 주의,1,매출채권↑>매출↑,미국,N/A,N/A,,,IV 4.7% (저변동성),PCR 0.74 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
