date,ticker,price,signals,adj_sig,sell_cnt,weekly,sector,trend_type,stop,stop_pct,target,target_pct,rr,buy_detail,sell_detail,strategy,details,fund_judge,beta,near_52w,priority,adx,fund_cnt,fund_risks,growth_score,growth_grade,growth_detail,tw_warning,tw_days,iv_label,pcr_label,iv_warning,vix_status,vix_signal,industry
2026-06-26,LLY,1208.12,6,10,1,3,🟢 강세,완전상승,1125.8,-6.81,1372.76,13.63,2.0,구름대 위 / MA 정배열 / 거래량급증(2.2x) / RSI상승기울기(+6.7) / OBV상승(1.11x) / ADX강세(27.3),BB상단(1.20),C,구름대 위 / MA 정배열 / 거래량급증(2.2x) / RSI상승기울기(+6.7) / OBV상승(1.11x) / ADX강세(27.3),🔴 위험,0.24,True,⭐⭐,27.3,3,현금<총부채 / 매출채권↑>매출↑ / 재고↑이익↓,8,🔥 최우선,시총:대형 $1077.3B / PEG:1.50 ⭐ (적정) / PSR:14.91 (섹터 고평가) / PER:42.9 (섹터 고평가) / ForwardPER:27.2 (섹터 고평가) / PER개선:Trailing 42.9 → Forward 27.2 ⭐ (이익개선) / EPS성장:+94.9% ⭐⭐⭐ / OPM:45.6% (▲7.7%p) ⭐⭐ / 목표주가:$1223 (▲1.2%) / 내부자:순매수 ⭐ / IV:IV 9.6% (저변동성) / PCR:PCR 0.33 (낙관적/과열주의),,84,IV 9.6% (저변동성),PCR 0.33 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Drug Manufacturers - General
2026-06-26,INCY,113.75,5,9,1,3,🟢 강세,완전상승,104.38,-8.24,132.49,16.47,2.0,구름대 위 / MA 정배열 / 거래량급증(1.6x) / OBV상승(1.05x) / ADX강세(28.3),BB상단(1.06),C,구름대 위 / MA 정배열 / 거래량급증(1.6x) / OBV상승(1.05x) / ADX강세(28.3),⚠ 주의,-0.27,True,⭐,28.3,1,재고↑이익↓,17,🔥 최우선,시총:중형 $22.7B ⭐ / PEG:0.36 ⭐⭐⭐ (성장대비 저평가) / PSR:4.24 ⭐⭐ (섹터 저평가) / PER:16.1 ⭐⭐ (섹터 저평가) / ForwardPER:12.4 ⭐⭐ (섹터 저평가) / PER개선:Trailing 16.1 → Forward 12.4 ⭐ (이익개선) / EPS성장:+3845.0% ⭐⭐⭐ / OPM:26.1% (▲23.7%p) ⭐⭐ / 목표주가:$110 (▲-3.1%) / 내부자:순매수 ⭐ / IV:IV 34.8% (보통) / PCR:PCR 0.13 (낙관적/과열주의),,84,IV 34.8% (보통),PCR 0.13 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Biotechnology
2026-06-26,TKO,215.88,7,9,1,3,🔴 약세,완전약세,200.46,-7.14,246.71,14.28,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+6.0) / OBV상승(1.22x) / ADX강세(32.7),BB상단(1.17),C,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+6.0) / OBV상승(1.22x) / ADX강세(32.7),🔴 위험,0.38,True,⭐,32.7,3,현금<총부채 / 매출채권↑>매출↑ / 무형자산76%,9,🔥 최우선,시총:중형 $41.3B ⭐ / PEG:1.44 ⭐ (적정) / PSR:8.15 (섹터 고평가) / PER:80.3 (섹터 고평가) / ForwardPER:46.3 (섹터 고평가) / PER개선:Trailing 80.3 → Forward 46.3 ⭐ (이익개선) / EPS성장:+1977.0% ⭐⭐⭐ / OPM:17.6% (▲17.0%p) ⭐⭐ / 목표주가:$234 (▲8.6%) / 내부자:순매수 ⭐ / IV:IV 38.4% (보통) / PCR:PCR 0.26 (낙관적/과열주의),,84,IV 38.4% (보통),PCR 0.26 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Entertainment
2026-06-26,AES,14.67,6,9,0,3,🟡 중립,완전상승,14.55,-0.82,14.91,1.64,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+3.5) / OBV상승(0.83x) / ADX강세(28.0),없음,A,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+3.5) / OBV상승(0.83x) / ADX강세(28.0),⚠ 주의,0.06,True,⭐,28.0,2,현금<총부채 / 단기부채>현금,12,🔥 최우선,시총:중형 $10.5B ⭐ / PEG:0.81 ⭐⭐⭐ (성장대비 저평가) / PSR:0.84 ⭐⭐ (섹터 저평가) / PER:7.6 ⭐⭐ (섹터 저평가) / ForwardPER:6.2 ⭐⭐ (섹터 저평가) / PER개선:Trailing 7.6 → Forward 6.2 ⭐ (이익개선) / EPS성장:-45.8% / OPM:16.1% (▼0.4%p) / 목표주가:$15 (▲2.2%) / 내부자:순매수 ⭐ / IV:IV 34.4% (보통) / PCR:PCR 0.22 (낙관적/과열주의),,84,IV 34.4% (보통),PCR 0.22 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Utilities - Diversified
2026-06-26,VRTX,491.34,5,9,2,3,🟢 강세,완전상승,463.84,-5.6,546.34,11.19,2.0,구름대 위 / MA 정배열 / 거래량급증(3.4x) / OBV상승(3.97x) / ADX강세(44.7),Stoch DC(K=79) / BB상단(1.09),C,구름대 위 / MA 정배열 / 거래량급증(3.4x) / OBV상승(3.97x) / ADX강세(44.7),⚠ 주의,0.29,True,⭐,44.7,2,매출채권↑>매출↑ / 재고↑이익↓,12,🔥 최우선,시총:대형 $124.7B / PEG:1.79 ⭐ (적정) / PSR:10.21 ⭐ (섹터 적정) / PER:29.2 ⭐ (섹터 적정) / ForwardPER:22.9 ⭐ (섹터 적정) / PER개선:Trailing 29.2 → Forward 22.9 ⭐ (이익개선) / EPS성장:+838.1% ⭐⭐⭐ / OPM:37.9% (▲40.1%p) ⭐⭐ / 목표주가:$549 (▲11.7%) ⭐ / 내부자:순매수 ⭐ / IV:⚠ IV 70.4% (고변동성) / PCR:PCR 0.95 (중립),,84,⚠ IV 70.4% (고변동성),PCR 0.95 (중립),True,🟢 정상 구간,정상 시장 환경,Biotechnology
2026-06-26,KO,82.63,6,9,0,3,🟢 강세,완전상승,79.39,-3.92,89.11,7.84,2.0,구름대 위 / MA 정배열 / MACD 양전환 / 거래량급증(2.4x) / RSI상승기울기(+7.3) / OBV상승(1.37x),없음,C,구름대 위 / MA 정배열 / MACD 양전환 / 거래량급증(2.4x) / RSI상승기울기(+7.3) / OBV상승(1.37x),⚠ 주의,-0.58,True,⭐,18.9,1,현금<총부채,6,⭐ 유망,시총:대형 $355.5B / PEG:4.12 (고평가) / PSR:7.21 (섹터 고평가) / PER:26.0 ⭐ (섹터 적정) / ForwardPER:23.7 ⭐ (섹터 적정) / PER개선:Trailing 26.0 → Forward 23.7 ⭐ (이익개선) / EPS성장:+23.3% ⭐ / OPM:31.1% (▲1.3%p) ⭐ / 목표주가:$86 (▲4.0%) / 내부자:순매수 ⭐ / IV:IV 7.4% (저변동성) / PCR:PCR 0.18 (낙관적/과열주의),,84,IV 7.4% (저변동성),PCR 0.18 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Beverages - Non-Alcoholic
2026-06-26,JNJ,254.66,5,9,1,3,🟢 강세,완전상승,242.33,-4.84,279.33,9.69,2.0,구름대 위 / MA 정배열 / 거래량급증(1.8x) / OBV상승(1.07x) / ADX강세(34.1),BB상단(1.15),C,구름대 위 / MA 정배열 / 거래량급증(1.8x) / OBV상승(1.07x) / ADX강세(34.1),⚠ 주의,-0.38,True,⭐,34.1,2,현금<총부채 / 매출채권↑>매출↑,9,🔥 최우선,시총:대형 $613.0B / PEG:3.13 (고평가) / PSR:6.36 ⭐ (섹터 적정) / PER:29.5 (섹터 고평가) / ForwardPER:20.0 ⭐ (섹터 적정) / PER개선:Trailing 29.5 → Forward 20.0 ⭐ (이익개선) / EPS성장:+90.6% ⭐⭐⭐ / OPM:27.2% (▲3.3%p) ⭐⭐ / 목표주가:$257 (▲1.0%) / 내부자:순매수 ⭐ / IV:IV 8.8% (저변동성) / PCR:PCR 0.09 (낙관적/과열주의),,84,IV 8.8% (저변동성),PCR 0.09 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Drug Manufacturers - General
2026-06-26,ABBV,253.35,5,9,1,3,🟢 강세,완전상승,238.63,-5.81,282.79,11.62,2.0,구름대 위 / MA 정배열 / 거래량급증(6.1x) / OBV상승(2.16x) / ADX강세(33.9),BB상단(1.22),C,구름대 위 / MA 정배열 / 거래량급증(6.1x) / OBV상승(2.16x) / ADX강세(33.9),🔴 위험,-0.37,True,⭐,33.9,5,현금<총부채 / 매출채권↑>매출↑ / 재고↑이익↓ / 단기부채>현금 / 자본잠식,9,🔥 최우선,시총:대형 $447.6B / PEG:0.65 ⭐⭐⭐ (성장대비 저평가) / PSR:7.13 ⭐ (섹터 적정) / PER:124.2 (섹터 고평가) / ForwardPER:15.6 ⭐ (섹터 적정) / PER개선:Trailing 124.2 → Forward 15.6 ⭐ (이익개선) / EPS성장:-1.2% / OPM:32.8% (▲11.7%p) ⭐⭐ / 목표주가:$254 (▲0.4%) / 내부자:순매수 ⭐ / IV:IV 0.0% (저변동성) / PCR:PCR 0.04 (낙관적/과열주의),,84,IV 0.0% (저변동성),PCR 0.04 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Drug Manufacturers - General
2026-06-26,ESS,295.34,7,9,1,3,🟢 강세,완전상승,283.37,-4.05,319.28,8.11,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+6.0) / OBV상승(1.03x) / ADX강세(25.2),BB상단(1.20),A,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+6.0) / OBV상승(1.03x) / ADX강세(25.2),⚠ 주의,-0.05,True,⭐,25.2,1,현금<총부채,4,✅ 관심,시총:중형 $20.4B ⭐ / PEG:7.02 (고평가) / PSR:10.35 ⭐ (섹터 적정) / PER:33.3 ⭐ (섹터 적정) / ForwardPER:49.0 (섹터 고평가) / EPS성장:-9.7% / OPM:31.9% (▼2.1%p) / 목표주가:$287 (▲-2.7%) / 내부자:순매수 ⭐ / IV:IV 16.2% (저변동성) / PCR:PCR 0.52 (중립),,84,IV 16.2% (저변동성),PCR 0.52 (중립),False,🟢 정상 구간,정상 시장 환경,REIT - Residential
2026-06-26,EXR,149.21,5,9,0,3,🟢 강세,완전상승,142.86,-4.26,161.9,8.5,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(1.34x),없음,A,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(1.34x),🔴 위험,0.47,True,⭐,20.9,3,현금<총부채 / 매출채권↑>매출↑ / 단기부채>현금,8,🔥 최우선,시총:중형 $32.9B ⭐ / PEG:6.30 (고평가) / PSR:9.47 ⭐ (섹터 적정) / PER:33.5 ⭐ (섹터 적정) / ForwardPER:31.5 ⭐ (섹터 적정) / PER개선:Trailing 33.5 → Forward 31.5 ⭐ (이익개선) / EPS성장:+14.0% ⭐ / OPM:44.1% (▲1.1%p) ⭐ / 목표주가:$156 (▲4.3%) / 내부자:순매수 ⭐ / IV:IV 25.1% (저변동성) / PCR:PCR 0.23 (낙관적/과열주의),,84,IV 25.1% (저변동성),PCR 0.23 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,REIT - Industrial
