ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,chg_1d,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,market,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
487230,19705.0,733.58,-96.28,-1441827.92,55752.08,0,3,3,미분류,717.13,766.48,-2.24,4.48,-1.45,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.19) / ADX강세(30.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
TSLA,413.75,381.61,-7.77,-128.56,1526.44,0,2,-1,🔴 약세,393.34,358.14,3.07,-6.15,-5.79,🔴 손절 고려,,0.0,BB하단(0.09) / ADX강세(25.4),⚠ 주의,1,매출채권↑>매출↑,미국,N/A,N/A,,,IV 37.0% (보통),PCR 0.96 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
458730,13707.26,733.58,-94.65,-1491973.2,84361.7,0,3,3,미분류,717.13,766.48,-2.24,4.48,-1.45,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.19) / ADX강세(30.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
COHR,393.42,381.22,-3.1,-36.6,1143.66,0,3,3,🟢 강세,333.8,476.05,-12.44,24.88,-10.4,🟣 추가매수 고려,,-14.8,구름대 위 / MA 정배열 / OBV상승(1.02x),⚠ 주의,2,현금<총부채 / 우선주존재,미국,N/A,N/A,,,🚨 IV 110.0% (극고변동성),PCR 0.9 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,200.04,7.1,66.3,1000.2,0,1,3,🟢 강세,199.17,201.78,-0.43,0.87,-4.13,🟡 1/3 익절 고려,,88.4,BB하단(0.09),⚠ 주의,2,현금<총부채 / 재고↑이익↓,미국,N/A,N/A,,,IV 32.2% (보통),PCR 0.77 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
464310,15771.0,713.65,-95.47,-1189530.65,56378.35,0,2,3,미분류,682.19,776.57,-4.41,8.82,-3.29,⚪ 보유 유지,,0.0,구름대 위 / MA 정배열,데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
465580,21390.0,733.58,-96.57,-970851.74,34478.26,0,3,3,미분류,717.13,766.48,-2.24,4.48,-1.45,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.19) / ADX강세(30.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
RKLB,65.07,95.12,46.18,210.35,665.84,0,2,3,🟢 강세,94.41,96.54,-0.75,1.49,-5.16,🟡 1/3 익절 고려,,95.5,BB하단(0.16) / ADX강세(45.3),⚠ 주의,2,재고↑이익↓ / 우선주존재,미국,N/A,N/A,,,🚨 IV 88.6% (극고변동성),PCR 0.44 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
0131V0,12790.0,12520.0,-2.11,-15930.0,738680.0,0,2,0,미분류,12748.07,12063.86,1.82,-3.64,-6.6,🔴 손절 고려,,0.0,BB하단(0.08) / ADX강세(27.9),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
498270,12360.0,516.62,-95.82,-473735.2,20664.8,0,3,3,미분류,504.01,541.84,-2.44,4.88,-0.09,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / MA 정배열 / OBV상승(1.09x),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
271050,2212.0,2425.0,9.63,48990.0,557750.0,0,3,-3,미분류,2257.01,2760.98,-6.93,13.85,2.75,🔵 추세 약화 (모니터링),,38.8,MA 정배열 / OBV상승(0.80x) / ADX강세(37.8),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
