ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,chg_1d,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,market,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
005930,107954.94,310000.0,187.16,135168145.14,207390000.0,0,3,3,미분류,286062.5,357875.0,-7.72,15.44,-12.31,🟡 1/3 익절 고려,,80.8,구름대 위 / MA 정배열 / ADX강세(26.5),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
360750,23732.88,733.58,-96.91,-19388409.9,618407.94,0,3,3,미분류,717.13,766.48,-2.24,4.48,-1.45,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.19) / ADX강세(30.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
379810,13300.17,713.65,-94.63,-4984261.92,282605.4,0,2,3,미분류,682.19,776.57,-4.41,8.82,-3.29,⚪ 보유 유지,,0.0,구름대 위 / MA 정배열,데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
379800,13973.04,733.58,-94.75,-4276345.58,236946.34,0,3,3,미분류,717.13,766.48,-2.24,4.48,-1.45,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.19) / ADX강세(30.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
RKLX,40.32,40.79,1.17,61.57,5343.49,0,3,0,미분류,55.9,10.58,37.04,-74.06,-10.27,🔴 손절 고려,,0.0,BB하단(0.20) / RSI상승기울기(+4.7) / ADX강세(47.8),데이터없음,0,없음,미국,N/A,N/A,,,🚨 IV 176.6% (극고변동성),PCR 0.45 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
133690,169890.58,713.65,-99.58,-5921192.55,24977.75,0,2,3,미분류,682.19,776.57,-4.41,8.82,-3.29,⚪ 보유 유지,,0.0,구름대 위 / MA 정배열,데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,346.13,-5.38,-236.16,4153.56,0,2,3,🔴 약세,338.5,361.39,-2.2,4.41,-1.02,🟠 손절가 근접 (모니터링),,0.0,RSI 상향돌파 / BB하단(0.05),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,미국,N/A,N/A,,,IV 29.9% (저변동성),PCR 0.47 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,11.82,-27.79,-1151.15,2990.46,0,3,-3,미분류,13.59,8.27,14.97,-30.03,-12.25,🔴 손절 고려,,0.0,BB하단(0.08) / OBV상승(1.01x) / ADX강세(28.0),데이터없음,0,없음,미국,N/A,N/A,,,🚨 IV 86.3% (극고변동성),PCR 0.75 (중립),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,379.06,14.08,280.68,2274.36,0,1,3,🟢 강세,365.16,406.87,-3.67,7.34,-2.57,🟠 분할익절 고려 (추세 점검),,62.7,구름대 위,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,미국,N/A,N/A,,,⚠ IV 56.5% (고변동성),PCR 3.21 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1423.76,-9.2,-144.24,1423.76,0,2,3,🟢 강세,1396.34,1478.59,-1.93,3.85,-7.42,🟠 손절가 근접 (모니터링),,0.0,BB하단(0.02) / ADX강세(26.3),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,미국,N/A,N/A,,,⚠ IV 77.5% (고변동성),PCR 6.05 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
