ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,chg_1d,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,market,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
MPWR,1568.0,1313.32,-16.24,-254.68,1313.32,0,3,1,⚪ 관망,1324.07,1291.82,0.82,-1.64,-8.69,🔴 손절 고려,,0.0,BB하단(-0.10) / RSI상승기울기(+3.5) / ADX강세(28.0),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,미국,N/A,N/A,,,⚠ IV 71.4% (고변동성),PCR 3.2 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
458730,13707.26,728.99,-94.68,-1492501.05,83833.85,0,5,3,미분류,717.13,752.71,-1.63,3.25,-0.72,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / RSI 상향돌파 / BB하단(0.16) / RSI상승기울기(+5.5) / ADX강세(35.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
COHR,393.42,380.56,-3.27,-38.58,1141.68,0,4,3,⚪ 관망,333.8,474.07,-12.29,24.57,-6.55,🟣 추가매수 고려,,-15.9,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+4.5),⚠ 주의,2,현금<총부채 / 우선주존재,미국,N/A,N/A,,,⚠ IV 63.2% (고변동성),PCR 0.98 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,192.53,3.08,28.75,962.65,0,2,1,⚪ 관망,199.17,179.25,3.45,-6.9,-1.64,🔴 손절 고려,,0.0,BB하단(0.03) / ADX강세(26.7),⚠ 주의,2,현금<총부채 / 재고↑이익↓,미국,N/A,N/A,,,IV 1.1% (저변동성),PCR 0.71 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
NASA,42.36,26.58,-37.25,-489.18,823.98,0,3,0,미분류,32.91,13.92,23.81,-47.63,0.61,🔴 손절 고려,,0.0,Stoch GC(K=12) / BB하단(0.10) / ADX강세(44.3),데이터없음,0,없음,미국,N/A,N/A,,,🚨 IV 126.6% (극고변동성),PCR 0.91 (중립),🟢 정상 구간,정상 시장 환경,
464310,15771.0,706.52,-95.52,-1190093.92,55815.08,0,5,3,미분류,682.19,755.18,-3.44,6.89,-1.38,🟣 추가매수 고려,,0.0,구름대 위 / RSI 상향돌파 / BB하단(0.22) / RSI상승기울기(+9.2) / ADX강세(25.3),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
465580,21390.0,728.99,-96.59,-971067.47,34262.53,0,5,3,미분류,717.13,752.71,-1.63,3.25,-0.72,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / RSI 상향돌파 / BB하단(0.16) / RSI상승기울기(+5.5) / ADX강세(35.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
RKLB,65.07,84.54,29.92,136.29,591.78,0,3,1,🟢 강세,96.77,60.08,14.47,-28.93,4.77,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.09) / ADX강세(54.7),⚠ 주의,2,재고↑이익↓ / 우선주존재,미국,N/A,N/A,,,IV 15.2% (저변동성),PCR 0.47 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
0131V0,12790.0,11955.0,-6.53,-49265.0,705345.0,0,2,0,미분류,12882.4,10100.21,7.76,-15.51,-4.28,🔴 손절 고려,,0.0,BB하단(0.07) / ADX강세(36.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
498270,12360.0,517.75,-95.81,-473690.0,20710.0,0,4,3,미분류,505.02,543.21,-2.46,4.92,-0.29,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / MA 정배열 / RSI 상향돌파 / OBV상승(1.08x),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
271050,2212.0,2495.0,12.79,65090.0,573850.0,0,4,-1,미분류,2335.72,2813.55,-6.38,12.77,-1.19,🔵 추세 약화 (모니터링),,47.0,구름대 위 / MA 정배열 / OBV상승(0.79x) / ADX강세(42.3),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
