ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,chg_1d,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,market,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
005930,107954.94,339500.0,214.48,154903645.14,227125500.0,0,4,3,미분류,286062.5,446375.0,-15.74,31.48,-5.3,🟠 분할익절 고려 (추세 점검),,68.4,구름대 위 / MA 정배열 / RSI상승기울기(+11.6) / OBV상승(1.00x),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
360750,23732.88,728.99,-96.93,-19392279.27,614538.57,0,5,3,미분류,717.13,752.71,-1.63,3.25,-0.72,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / RSI 상향돌파 / BB하단(0.16) / RSI상승기울기(+5.5) / ADX강세(35.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
379810,13300.17,706.52,-94.69,-4987085.4,279781.92,0,5,3,미분류,682.19,755.18,-3.44,6.89,-1.38,🟣 추가매수 고려,,0.0,구름대 위 / RSI 상향돌파 / BB하단(0.22) / RSI상승기울기(+9.2) / ADX강세(25.3),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
379800,13973.04,728.99,-94.78,-4277828.15,235463.77,0,5,3,미분류,717.13,752.71,-1.63,3.25,-0.72,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / RSI 상향돌파 / BB하단(0.16) / RSI상승기울기(+5.5) / ADX강세(35.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
133690,169890.58,706.52,-99.58,-5921442.1,24728.2,0,5,3,미분류,682.19,755.18,-3.44,6.89,-1.38,🟣 추가매수 고려,,0.0,구름대 위 / RSI 상향돌파 / BB하단(0.22) / RSI상승기울기(+9.2) / ADX강세(25.3),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
RKLX,40.32,31.47,-21.95,-1159.35,4122.57,0,3,0,미분류,58.7,-23.0,86.53,-173.09,9.01,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.14) / ADX강세(55.9),데이터없음,0,없음,미국,N/A,N/A,,,🚨 IV 144.4% (극고변동성),PCR 2.56 (비관적),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,337.39,-7.77,-341.04,4048.68,0,2,1,🔴 약세,338.46,335.26,0.32,-0.63,-1.84,🔴 손절 고려,,0.0,BB하단(-0.02) / ADX강세(28.1),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,미국,N/A,N/A,,,IV 19.1% (저변동성),PCR 0.59 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,11.62,-29.02,-1201.75,2939.86,0,4,-3,미분류,13.49,7.88,16.09,-32.19,2.11,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.17) / RSI상승기울기(+10.7) / ADX강세(29.6),데이터없음,0,없음,미국,N/A,N/A,,,⚠ IV 60.9% (고변동성),PCR 0.56 (중립),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,377.27,13.54,269.94,2263.62,0,4,3,⚪ 관망,356.97,417.88,-5.38,10.76,2.45,🟠 분할익절 고려 (추세 점검),,52.6,구름대 위 / RSI 상향돌파 / Stoch GC(K=34) / RSI상승기울기(+17.2),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,미국,N/A,N/A,,,IV 35.9% (보통),PCR 3.44 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
487230,19705.0,728.99,-96.3,-1442176.76,55403.24,0,5,3,미분류,717.13,752.71,-1.63,3.25,-0.72,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / RSI 상향돌파 / BB하단(0.16) / RSI상승기울기(+5.5) / ADX강세(35.2),데이터없음,0,없음,국내,N/A,N/A,,,N/A,N/A,🟢 정상 구간,정상 시장 환경,
TSLA,413.75,379.71,-8.23,-136.16,1518.84,0,4,-1,🔴 약세,393.34,352.44,3.59,-7.18,1.22,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.18) / RSI상승기울기(+10.8) / ADX강세(27.1),⚠ 주의,1,매출채권↑>매출↑,미국,N/A,N/A,,,IV 3.7% (저변동성),PCR 1.09 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
