ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,45.46,12.75,673.34,5955.26,0,4,0,미분류,51.93,32.52,14.23,-28.46,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.22) / RSI상승기울기(+8.8) / ADX강세(46.3),데이터없음,0,없음,N/A,N/A,,,🚨 IV 171.1% (극고변동성),PCR 0.85 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,349.68,-4.41,-193.56,4196.16,0,1,3,🔴 약세,340.01,369.01,-2.77,5.53,🟠 손절가 근접 (모니터링),,-504.1,BB하단(0.06),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 2.7% (저변동성),PCR 0.47 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.47,-17.72,-733.7,3407.91,0,4,-3,미분류,13.59,13.22,0.89,-1.86,🔴 손절 고려,,0.0,RSI 상향돌파 / RSI상승기울기(+11.1) / OBV상승(1.03x) / ADX강세(27.0),데이터없음,0,없음,N/A,N/A,,,⚠ IV 76.2% (고변동성),PCR 0.36 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,389.04,17.08,340.56,2334.24,0,2,3,🟢 강세,359.73,447.66,-7.53,15.07,⚪ 보유 유지,,49.2,구름대 위 / MA 정배열,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 51.5% (고변동성),PCR 2.33 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1537.88,-1.92,-30.12,1537.88,0,2,3,🟢 강세,1397.98,1817.69,-9.1,18.19,⚪ 보유 유지,,-12.1,구름대 위 / RSI상승기울기(+8.9),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 76.0% (고변동성),PCR 3.02 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,405.05,-2.1,-34.8,1620.2,0,3,1,🔴 약세,393.34,428.46,-2.89,5.78,🟠 손절가 근접 (모니터링),,-59.1,RSI 상향돌파 / RSI상승기울기(+10.7) / OBV상승(1.01x),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 4.3% (저변동성),PCR 0.98 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,425.48,8.15,96.18,1276.44,0,5,3,🟢 강세,350.13,576.17,-17.71,35.42,⚪ 보유 유지,,17.5,구름대 위 / MA 정배열 / MACD 양전환 / RSI상승기울기(+9.0) / OBV상승(1.04x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 102.3% (극고변동성),PCR 0.63 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,208.65,11.71,109.35,1043.25,0,1,3,🟢 강세,198.34,229.26,-4.94,9.88,🟠 분할익절 고려 (추세 점검),,51.5,구름대 위,⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 20.2% (저변동성),PCR 0.52 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,100.29,54.13,246.54,702.03,0,5,3,🟢 강세,96.02,108.84,-4.26,8.53,🟡 1/3 익절 고려,,80.5,구름대 위 / RSI 상향돌파 / BB하단(0.20) / RSI상승기울기(+6.6) / ADX강세(43.7),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 93.2% (극고변동성),PCR 0.69 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
